roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.36884,3.5331,5.837000000000001,0.8217,1.7546,0.77832,1.1003,2.4763,0.18666,0.00905,7.8e-05,1.2e-05,0.0,1e-06,0.0,80.969,81.638,14.269,20.398,20.284000000000002,21.33,-0.28254,-0.5191399999999999,1.4932,4.2487,4.5371,4.4354,0.13121,0.98877,0.23375,0.9375100000000001,1
0.38151,3.4243,5.7392,0.8217399999999999,1.7548,0.77691,1.1152,2.4325,0.18700999999999998,0.009087,7.099999999999999e-05,9e-06,0.0,1e-06,0.0,85.182,84.074,29.49,18.079,18.546,25.906999999999996,0.17761,-0.001791,0.53622,3.6658,3.7257,2.3236,0.13221,0.9882700000000001,0.23445,0.93722,1
0.40996000000000005,3.4313,5.5365,0.79911,1.6634,0.77352,1.1003,2.3579,0.18297,0.007365999999999999,8.1e-05,1.2e-05,0.0,1e-06,0.0,85.574,85.912,22.855,18.864,18.895,25.583000000000002,-0.11457,-0.19919,0.84646,3.3483,3.4704,2.6509,0.13279000000000002,0.9881700000000001,0.22993000000000002,0.9367200000000001,1
0.39323,3.4399,5.653,0.82015,1.7478,0.77444,1.0939,2.3935,0.18723,0.009002,9.2e-05,1.6e-05,0.0,1e-06,0.0,84.29,83.719,23.397,18.869,19.736,25.068,-0.07989199999999999,-0.22769,0.7830199999999999,3.6617,3.8209,2.5256,0.1291,0.98867,0.23076,0.9385600000000001,1
0.47408999999999996,3.301,5.1485,0.77141,1.5715,0.7813100000000001,1.0997,2.2185,0.17661,0.005596,9e-06,1e-06,0.0,0.0,0.0,91.064,92.521,22.131,15.747,16.14,21.162,-0.039806,-0.23178,0.69847,4.587,4.9923,2.7346,0.12452,0.98688,0.26982,0.94075,1
0.5210100000000001,3.3968,4.9111,0.69755,1.3956,0.78205,1.0823,2.1417,0.1688,0.002945,3e-06,0.0,0.0,0.0,0.0,71.442,74.625,0.94962,17.232,17.557000000000002,6.3057,-0.07509400000000001,-0.018925,9.5401,4.5445,4.3553,116.28,0.152,0.9868600000000001,0.22583000000000003,0.92896,1
0.48198,3.1635,5.1061,0.8035,1.6798,0.77552,1.0967,2.1748,0.18335,0.007639,6.7e-05,1.1e-05,0.0,1e-06,0.0,87.27,87.646,18.041,15.715,16.352,19.354,0.061176999999999995,-0.074645,0.9512299999999999,5.0437,5.0393,3.3163,0.1237,0.9881,0.28307,0.9431799999999999,1
0.45197,3.3356,5.2729,0.78056,1.5998,0.7780100000000001,1.1024,2.2627,0.17873,0.006131,2.9999999999999997e-05,3e-06,0.0,0.0,0.0,83.10700000000001,85.01,7.6459,17.622,17.432000000000002,15.704,0.24126,0.22701999999999997,2.3894,3.8258,3.7806,8.8945,0.14517,0.9864799999999999,0.25485,0.9325899999999999,1
0.43738999999999995,3.3801,5.3601,0.7783800000000001,1.5929,0.7775,1.1079,2.3005,0.17851,0.006019,6.8e-05,6e-06,0.0,1e-06,0.0,81.078,77.055,16.757,19.835,21.156,24.009,0.10069,-0.11045,1.3224,3.6139,3.6584,3.7255,0.14628,0.9882,0.21416999999999997,0.9304,1
0.46216999999999997,3.306,5.2144,0.74824,1.5073,0.77849,1.1335,2.2528,0.17427,0.0045899999999999995,2.6000000000000002e-05,1e-06,0.0,0.0,0.0,89.507,88.10600000000001,23.159000000000002,16.68,17.57,22.378,-0.18314,-0.30706999999999995,0.6857,4.1263,4.3652,2.6116,0.11725999999999999,0.98915,0.26181,0.9441299999999999,1
0.46958999999999995,3.241,5.1731,0.77545,1.5838,0.77577,1.1171,2.2192,0.17847000000000002,0.005887,3.9e-05,4e-06,0.0,0.0,0.0,80.158,77.69,15.977,18.435,19.435,21.756,-0.17085,-0.31368,1.255,4.1146,4.2228,3.6325,0.14418,0.98816,0.22826,0.93242,1
0.38885,3.3324,5.6848,0.8348200000000001,1.8165,0.76673,1.1083,2.3819999999999997,0.19294,0.010648999999999999,0.000239,4.8e-05,0.0,5e-06,0.0,86.738,87.781,30.296,17.873,18.164,25.002,0.08389400000000001,-0.17915,0.4763,4.5146,4.5284,2.3768,0.12541,0.98877,0.24961,0.94045,1
0.49982,3.3298,5.0141,0.71525,1.4309,0.78061,1.1122,2.18,0.17052,0.003435,1e-06,0.0,0.0,0.0,0.0,74.46,78.532,2.7216,19.419,18.767,10.26,-0.020040000000000002,-0.018083000000000002,4.9522,3.8849,3.9839,32.277,0.14515,0.98756,0.22674,0.9310200000000001,1
0.53372,2.8696,4.8523,0.8334600000000001,1.8097,0.77699,1.1079999999999999,2.0479,0.19002,0.010225,2.3e-05,3e-06,0.0,0.0,0.0,83.53200000000001,83.735,19.605999999999998,17.38,17.757,21.768,-0.43516000000000005,-0.56703,0.87271,4.4226,4.6967,2.736,0.13433,0.9879,0.25311,0.93668,1
0.46178,3.1442,5.2166,0.79576,1.6512,0.76804,1.1315,2.2158,0.18365,0.007240000000000001,2.7000000000000002e-05,7.000000000000001e-06,0.0,1e-06,0.0,86.395,84.73299999999999,22.824,17.463,18.199,24.194000000000003,0.074417,-0.07570199999999999,0.79375,3.7208,3.9286,2.5954,0.14002,0.98762,0.24220999999999998,0.9338700000000001,1
0.49706000000000006,3.2316,5.0280000000000005,0.7552,1.5256,0.78155,1.1137,2.1739,0.17442,0.004841,1.3000000000000001e-05,1e-06,0.0,0.0,0.0,82.709,85.109,10.327,16.689,16.945,17.273,-0.15082,-0.17402,1.9375,4.3048,4.4239999999999995,6.6374,0.12295,0.98841,0.2726,0.9413799999999999,1
0.44478999999999996,3.2855,5.3153,0.8004899999999999,1.6685,0.77046,1.0994,2.2584,0.18397,0.007522,8.7e-05,1.4000000000000001e-05,0.0,1e-06,0.0,82.212,83.995,12.751,19.927,20.289,21.105,-0.14618,-0.34278000000000003,1.6681,3.6341,3.8942,4.9575,0.13927,0.9877,0.23039,0.93424,1
0.41961000000000004,3.6225,5.4724,0.71722,1.435,0.7777,1.1121,2.3742,0.17132999999999998,0.0035189999999999996,4.7e-05,3e-06,0.0,0.0,0.0,82.288,79.94800000000001,16.312,17.625,18.607,21.5,0.1831,-0.06265,1.247,3.866,3.9571,3.8,0.14844000000000002,0.9869700000000001,0.23625,0.93099,1
0.39037,3.4155,5.6737,0.8084,1.6988,0.76663,1.1159,2.3991,0.18649000000000002,0.008192,0.000167,2.6000000000000002e-05,0.0,2e-06,0.0,84.376,87.51100000000001,19.585,16.562,16.578,21.691,0.28028000000000003,0.010588,1.0431,4.8961,4.845,3.5043,0.1208,0.9894200000000001,0.27455,0.94268,1
0.41798,3.2782,5.4831,0.81677,1.7332,0.77588,1.1191,2.3264,0.18609,0.008675,7.6e-05,1e-05,0.0,1e-06,0.0,86.965,88.461,19.869,18.813,19.188,24.276999999999997,-0.12007000000000001,-0.44792,0.9956,3.6794,4.1702,2.9234,0.12460999999999998,0.98864,0.24176999999999998,0.9406,1
0.47542,3.4158,5.1412,0.7104699999999999,1.421,0.78178,1.1164,2.2383,0.16985999999999998,0.003288,4e-06,0.0,0.0,0.0,0.0,83.944,79.62100000000001,13.689,16.052,17.929000000000002,19.078,-0.13463,-0.34491,1.411,3.6089,4.121,4.4018,0.13045,0.9882799999999999,0.2571,0.93889,1
